id,value,languageId,frequencyRank
2777,"study, studies",2,
2778,"festhalten, hält fest, hielt fest, hat festgehalten",1,1399
2779,"to hold on to, to detain",2,
2780,"präsentieren, präsentiert, präsentierte, hat präsentiert",1,1400
2781,"to present, to show",2,
2782,"die Demokratie, -n",1,1401
2783,democracy,2,
2784,niemals,1,1402
2785,"die Aufnahme, -n",1,1403
2786,"reception, recording, snapshot",2,
2787,"die Ausnahme, -n",1,1404
2788,exception,2,
2789,"beenden, beendet, beendete, hat beendet",1,1405
2790,"die Investition, -en",1,1406
2791,investment,2,
2792,"die Lust, -̈e",1,1407
2793,desire,2,
2794,"prüfen, prüft, prüfte, hat geprüft",1,1408
2795,"to examine, to check",2,
2796,"anlegen, legt an, legte an, hat angelegt",1,1409
2797,"to put on, to invest",2,
2798,"der Zuschauer, -",1,1410
2799,spectator,2,
2800,hell,1,1411
2801,"light, bright",2,
2802,mitten,1,1412
2803,in the middle,2,
2804,zufolge,1,1413
2805,"der Konflikt, -e",1,1414
2806,conflict,2,
2807,"die Bahn, -en",1,1415
2808,"train, railway, way",2,
2809,Syrien,1,1416
2810,Syria,2,
2811,"das Einkommen, -",1,1417
2812,income,2,
2813,"empfehlen, empfiehlt, empfahl, hat empfohlen",1,1418
2814,to recommend,2,
2815,britisch,1,1419
2816,British,2,
2817,"fürchten, fürchtet, fürchtete, hat gefürchtet",1,1420
2818,to fear,2,
2819,"vorbereiten, bereitet vor, bereitete vor, hat vorbereitet",1,1421
2820,to prepare,2,
2821,"die Aktivität, -en",1,1422
2822,activity,2,
2823,"der Auftrag, -̈e",1,1423
2824,"instructions, order, job",2,
2825,froh,1,1424
2826,"happy, glad",2,
2827,"äußern, äußert, äußerte, hat geäußert",1,1425
2828,"to express, to voice",2,
2829,"der Geist, -er",1,1426
2830,"mind, spirit",2,
2831,"das Objekt, -e",1,1427
2832,möglicherweise,1,1428
2833,possibly,2,
2834,zuständig,1,1429
2835,"appropriate, responsible",2,
2836,"aufweisen, weist auf, wies auf, hat aufgewiesen",1,1430
2837,"to show, to exhibit, to contain",2,
2838,"springen, springt, sprang, ist gesprungen",1,1431
2839,to jump,2,
2840,"der Hof, -̈e",1,1432
2841,"courtyard, yard",2,
2842,"der Polizist, -en",1,1433
2843,"police officer, policeman",2,
2844,"die Übung, -en",1,1434
2845,"exercise, practice",2,
2846,"der Widerstand, -̈e",1,1435
2847,"resistance, opposition",2,
2848,"anziehen, zieht an, zog an, hat angezogen",1,1436
2849,"to attract, to put on, to dress",2,
2850,"der Experte, -n",1,1437
2851,expert,2,
2852,ohnehin,1,1438
2853,"füllen, füllt, füllte, hat gefüllt",1,1439
2854,to fill,2,
2855,"die Gemeinde, -n",1,1440
2856,"community, municipality",2,
2857,"die Pause, -n",1,1441
2858,"pause, break",2,
2859,scharf,1,1442
2860,sharp,2,
2861,"schütteln, schüttelt, schüttelte, hat geschüttelt",1,1443
2862,to shake,2,
2863,das Fernsehen,1,1444
2864,television,2,
2865,"die Formel, -n",1,1445
2866,formula,2,
2867,gelb,1,1446
2868,yellow,2,
2869,"das Sommersemester, -",1,1447
2870,summer semester,2,
2871,heftig,1,1448
2872,"hard, heavy, violent",2,
2873,"die Bühne, -n",1,1449
2874,stage,2,
2875,"empfinden, empfindet, empfand, hat empfunden",1,1450
2876,"der Schaden, -̈",1,1451
2877,damage,2,
2878,umgekehrt,1,1452
2879,"reversed, contrary, around",2,
2880,"veröffentlichen, veröffentlicht, veröffentlichte, hat veröffentlicht",1,1453
2881,to publish,2,
2882,"aufstellen, stellt auf, stellte auf, hat aufgestellt",1,1454
2883,"to put up, to draw up",2,
2884,abhängig,1,1455
2885,dependent,2,
2886,"die Strecke, -n",1,1456
2887,"distance, route",2,
2888,"die Praxis, -en",1,1457
2889,"practice, doctor’s office",2,
2890,ungefähr,1,1458
2891,"mitnehmen, nimmt mit, nahm mit, hat mitgenommen",1,1459
2892,to take (along),2,
2893,üblich,1,1460
2894,usual,2,
2895,übertragen,1,1461
2896,to transfer,2,
2897,"die Wissenschaft, -en",1,1462
2898,science,2,
2899,global,1,1463
2900,global,2,
2901,"der Nachmittag, -e",1,1464
2902,afternoon,2,
2903,"die Annahme, -n",1,1465
2904,"acceptance, assumption",2,
2905,"die Umgebung, -en",1,1466
2906,surroundings,2,
2907,"die Öffentlichkeit, -en",1,1467
2908,"der Spiegel, -",1,1468
2909,mirror,2,
2910,"zurückkommen, kommt zurück, kam zurück, ist zurückgekommen",1,1469
2911,"besetzen, besetzt, besetzte, hat besetzt",1,1470
2912,"to occupy, to fill",2,
2913,"das Gegenteil, -e",1,1471
2914,vorbei,1,1472
2915,"past, over",2,
2916,"der Fan, -s",1,1473
2917,"fan, supporter",2,
2918,"die Karte, -n",1,1474
2919,"card, ticket, menu",2,
2920,arm,1,1475
2921,poor,2,
2922,"die Krise, -n",1,1476
2923,crisis,2,
2924,"die Strategie, -n",1,1477
2925,strategy,2,
2926,"die Debatte, -n",1,1478
2927,debate,2,
2928,davor,1,1479
2929,"before, in front of",2,
2930,"der Journalist, -en",1,1480
2931,journalist,2,
2932,"kochen, kocht, kochte, hat gekocht",1,1481
2933,to cook,2,
2934,"zurückgehen, geht zurück, ging zurück, ist zurückgegangen",1,1482
2935,"to go back, to decrease",2,
2936,"der Schmerz, -en",1,1483
2937,"pain, grief",2,
2938,erheblich,1,1484
2939,considerable,2,
2940,ausschließlich,1,1485
2941,exclusive,2,
2942,griechisch,1,1486
2943,Greek,2,
2944,naja,1,1487
2945,(oh) well,2,
2946,"die Runde, -n",1,1488
2947,"der Angriff, -e",1,1489
2948,"einführen, führt ein, führte ein, hat eingeführt",1,1490
2949,"to introduce, to import",2,
2950,desto,1,1491
2951,"der Wettbewerb, -e",1,1492
2952,competition,2,
2953,"verfügen, verfügt, verfügte, hat verfügt",1,1493
2954,"to have sth at one’s disposal, to be in charge",2,
2955,woher,1,1494
2956,"from where, how",2,
2957,"der Zweifel, -",1,1495
2958,doubt,2,
2959,"der Konzern, -e",1,1496
2960,corporation,2,
2961,"tanzen, tanzt, tanzte, hat getanzt",1,1497
2962,to dance,2,
2963,"überleben, überlebt, überlebte, hat überlebt",1,1498
2964,to survive,2,
2965,spezifisch,1,1499
2966,specific,2,
2967,stabil,1,1500
2968,"stable, sturdy",2,
2969,"die Kamera, -s",1,1501
2970,camera,2,
2971,"der Schatten, -",1,1502
2972,"shadow, shade",2,
2973,"berücksichtigen, berücksichtigt, berücksichtigte, hat berücksichtigt",1,1503
2974,to consider,2,
2975,"das Pferd, -e",1,1504
2976,horse,2,
2977,"begegnen, begegnet, begegnete, ist begegnet",1,1505
2978,"to meet, to encounter, to come across",2,
2979,"der Zugang, -̈e",1,1506
2980,access,2,
2981,elf,1,1507
2982,eleven,2,
2983,"die Suche, -n",1,1508
2984,search,2,
2985,doppelt,1,1509
2986,double,2,
2987,"festlegen, legt fest, legte fest, hat festgelegt",1,1510
2988,"to determine, to fix, to lay down",2,
2989,österreichisch,1,1511
2990,Austrian,2,
2991,sodass,1,1512
2992,"die Tatsache, -n",1,1513
2993,fact,2,
2994,"der Alkohol, -e",1,1514
2995,alcohol,2,
2996,"informieren, informiert, informierte, hat informiert",1,1515
2997,"Norden, Nord-",1,1516
2998,north,2,
2999,"vermuten, vermutet, vermutete, hat vermutet",1,1517
3000,"to assume, to suspect",2,
3001,zufrieden,1,1518
3002,satisfied,2,
3003,"reißen, reißt, riss, hat gerissen",1,1519
3004,to tear,2,
3005,dahin,1,1520
3006,solange,1,1521
3007,as long as,2,
3008,"der Wissenschaftler, -",1,1522
3009,"scholar, scientist",2,
3010,"die Kommunikation, -en",1,1523
3011,communication,2,
3012,"das Steuer, -",1,1524
3013,tax,2,
3014,"steering wheel, helm",2,
3015,angeblich,1,1525
3016,alleged,2,
3017,günstig,1,1526
3018,"cheap, favorable, good",2,
3019,"der Dezember, -",1,1527
3020,December,2,
3021,"der Flughafen, -̈",1,1528
3022,airport,2,
3023,"das Krankenhaus, -̈er",1,1529
3024,hospital,2,
3025,"wenden, wendet, wandte, hat gewandt",1,1530
3026,to turn around,2,
3027,türkisch,1,1531
3028,Turkish,2,
3029,"der Gegner, -",1,1532
3030,"opponent, competitor, enemy",2,
3031,"der Leser, -",1,1533
3032,reader,2,
3033,VWL (Volkswirtschaftslehre),1,1534
3034,economics,2,
3035,"der Handel, -̈",1,1535
3036,trade,2,
3037,"die Kenntnis, -se",1,1536
3038,knowledge,2,
3039,sichtbar,1,1537
3040,visible,2,
3041,"zulassen, lässt zu, ließ zu, hat zugelassen",1,1538
3042,"to allow, to admit",2,
3043,"die Mark, -",1,1539
3044,Deutschmark,2,
3045,"vorsehen, sieht vor, sah vor, hat vorgesehen",1,1540
3046,"to look around, to plan, to provide for",2,
3047,"die Schwierigkeit, -en",1,1541
3048,difficulty,2,
3049,"wahrnehmen, nimmt wahr, nahm wahr, hat wahrgenommen",1,1542
3050,"to perceive, to detect",2,
3051,"hinweisen, weist hin, wies hin, hat hingewiesen",1,1543
3052,"to point to, to refer to",2,
3053,"der Juli, -s",1,1544
3054,July,2,
3055,"das Signal, -e",1,1545
3056,signal,2,
3057,"kontrollieren, kontrolliert, kontrollierte, hat kontrolliert",1,1546
3058,"to check, to control",2,
3059,sowieso,1,1547
3060,"der Bauer, -n",1,1548
3061,farmer,2,
3062,"der Kurs, -e",1,1549
3063,"course, exchange rate",2,
3064,einst,1,1550
3065,"once, at one time, one day",2,
3066,"der Service, -s",1,1551
3067,service,2,
3068,sprachlich,1,1552
3069,linguistic,2,
3070,bisherig,1,1553
3071,so far,2,
3072,"der Fahrer, -",1,1554
3073,driver,2,
3074,traditionell,1,1555
3075,traditional,2,
3076,"weinen, weint, weinte, hat geweint",1,1556
3077,"to cry, to weep",2,
3078,"genießen, genießt, genoss, hat genossen",1,1557
3079,"to enjoy, to relish",2,
3080,"der Dienst, -e",1,1558
3081,"service, duty",2,
3082,"das Lager, -",1,1559
3083,"camp, storeroom",2,
3084,grau,1,1560
3085,gray,2,
3086,anhand,1,1561
3087,"on the basis of, with the aid of",2,
3088,"der Bus, -se",1,1562
3089,bus,2,
3090,"Franken, Fr.",1,1563
3091,(Swiss) franc,2,
3092,"die Kategorie, -n",1,1564
3093,category,2,
3094,nett,1,1565
3095,nice,2,
3096,freundlich,1,1566
3097,"kind, nice, friendly",2,
3098,perfekt,1,1567
3099,perfect,2,
3100,reich,1,1568
3101,"rich, abundant",2,
3102,"die Fahrt, -en",1,1569
3103,"drive, trip",2,
3104,"der Urlaub, -e",1,1570
3105,vacation,2,
3106,ausländisch,1,1571
3107,foreign,2,
3108,"das Instrument, -e",1,1572
3109,instrument,2,
3110,fern,1,1573
3111,"far, distant",2,
3112,"die Gegend, -en",1,1574
3113,"verstecken, versteckt, versteckte, hat versteckt",1,1575
3114,to hide,2,
3115,"das Feuer, -",1,1576
3116,fire,2,
3117,"bemühen (sich), bemüht, bemühte, hat bemüht",1,1577
3118,to make an effort,2,
3119,"das Verständnis, -se",1,1578
3120,understanding,2,
3121,AfD (Alternative für Deutschland),1,1579
3122,"AfD, Alternative für Deutschland",2,
3123,"die Bakterie, -n",1,1580
3124,bacterium,2,
3125,"tauchen, taucht, tauchte, ist getaucht",1,1581
3126,"to dive, to dip",2,
3127,"die Konsequenz, -en",1,1582
3128,consequence,2,
3129,"die Schuld, -en",1,1583
3130,guilt,2,
3131,guilty,2,
3132,"die Mehrheit, -en",1,1584
3133,majority,2,
3134,"anhaben, hat an, hatte an, hat angehabt",1,1585
3135,"to wear, to damage",2,
3136,"die Bestimmung, -en",1,1586
3137,"regulation, purpose, fate",2,
3138,"vermeiden, vermeidet, vermied, hat vermieden",1,1587
3139,to avoid,2,
3140,ehrlich,1,1588
3141,honest,2,
3142,"beachten, beachtet, beachtete, hat beachtet",1,1589
3143,"to pay attention, to observe",2,
3144,statistisch,1,1590
3145,statistical,2,
3146,"der Hals, -̈e",1,1591
3147,"neck, throat",2,
3148,"durchsetzen, setzt durch, setzte durch, hat durchgesetzt",1,1592
3149,"to carry through, to enforce, to implement",2,
3150,italienisch,1,1593
3151,Italian,2,
3152,die Scheiße,1,1594
3153,"crap, shit",2,
3154,"das Telefon, -e",1,1595
3155,telephone,2,
3156,"der Herbst, -e",1,1596
3157,autumn,2,
3158,"die Ausstellung, -en",1,1597
3159,exhibition,2,
3160,"der Bau, -ten",1,1598
3161,"construction, building",2,
3162,"der Keller, -",1,1599
3163,cellar,2,
3164,"der Bürgermeister, -",1,1600
3165,mayor,2,
3166,entlang,1,1601
3167,along,2,
3168,"die Flasche, -n",1,1602
3169,bottle,2,
3170,wunderbar,1,1603
3171,wonderful,2,
3172,"der Zweck, -e",1,1604
3173,purpose,2,
3174,"ehren, ehrt, ehrte, hat geehrt",1,1605
3175,to honor,2,
3176,"die Verwendung, -en",1,1606
3177,use,2,
3178,letztlich,1,1607
3179,in the end,2,
3180,"die Fläche, -n",1,1608
3181,"area, surface",2,
3182,"streichen, streicht, strich, hat gestrichen",1,1609
3183,"to paint, to cancel",2,
3184,"zitieren, zitiert, zitierte, hat zitiert",1,1610
3185,to quote,2,
3186,"senken, senkt, senkte, hat gesenkt",1,1611
3187,"to sink, to lower, to decrease",2,
3188,"behalten, behält, behielt, hat behalten",1,1612
3189,to keep,2,
3190,"gestalten, gestaltet, gestaltete, hat gestaltet",1,1613
3191,"to shape, to design",2,
3192,"beweisen, beweist, bewies, hat bewiesen",1,1614
3193,to prove,2,
3194,"der Umgang, -̈e",1,1615
3195,"dealings, contact",2,
3196,"überprüfen, überprüft, überprüfte, hat überprüft",1,1616
3197,to check,2,
3198,"der Lehrstuhl, -̈e",1,1617
3199,"professorship, chair",2,
3200,"schenken, schenkt, schenkte, hat geschenkt",1,1618
3201,to give (as a present),2,
3202,"der Vorschlag, -̈e",1,1619
3203,"suggestion, proposal",2,
3204,"anhalten, hält an, hielt an, hat angehalten",1,1620
3205,"to stop, to last",2,
3206,entfernt,1,1621
3207,"distant, away",2,
3208,"der Leiter, -",1,1622
3209,leader,2,
3210,ladder,2,
3211,"das Parlament, -e",1,1623
3212,parliament,2,
3213,"stürzen, stürzt, stürzte, ist gestürzt",1,1624
3214,"to fall, to stumble",2,
3215,"die Waffe, -n",1,1625
3216,weapon,2,
3217,"das Kriterium, -en",1,1626
3218,criterion,2,
3219,der Beifall,1,1627
3220,applause,2,
3221,"zerstören, zerstört, zerstörte, hat zerstört",1,1628
3222,to destroy,2,
3223,"zuhören, hört zu, hörte zu, hat zugehört",1,1629
3224,to listen,2,
3225,"ausfallen, fällt aus, fiel aus, ist ausgefallen",1,1630
3226,"to drop out, to be canceled",2,
3227,die Weile,1,1631
3228,while,2,
3229,"drängen, drängt, drängte, hat gedrängt",1,1632
3230,"to push, to insist",2,
3231,einerseits,1,1633
3232,on the one hand,2,
3233,"die Spannung, -en",1,1634
3234,"suspense, tension",2,
3235,"der Fortschritt, -e",1,1635
3236,progress,2,
3237,die Mathematik,1,1636
3238,mathematics,2,
3239,"das Bad, -̈er",1,1637
3240,"bath, bathroom, spa",2,
3241,"erläutern, erläutert, erläuterte, hat erläutert",1,1638
3242,"packen, packt, packte, hat gepackt",1,1639
3243,"to pack, to grab",2,
3244,Großbritannien,1,1640
3245,Great Britain,2,
3246,vorsichtig,1,1641
3247,"cautious, careful",2,
3248,"anwenden, wendet an, wandte an, hat angewandt",1,1642
3249,"to apply, to employ",2,
3250,wild,1,1643
3251,wild,2,
3252,gesetzlich,1,1644
3253,legal,2,
3254,"die Spitze, -n",1,1645
3255,"point, top, peak",2,
3256,"das Gerät, -e",1,1646
3257,"tool, piece of equipment, appliance",2,
3258,"der Wille, -n",1,1647
3259,will,2,
3260,sicherlich,1,1648
3261,certainly,2,
3262,"weisen, weist, wies, hat gewiesen",1,1649
3263,to point,2,
3264,"die Tradition, -en",1,1650
3265,tradition,2,
3266,"brennen, brennt, brannte, hat gebrannt",1,1651
3267,to burn,2,
3268,freiwillig,1,1652
3269,voluntary,2,
3270,umso,1,1653
3271,the (more . . . the),2,
3272,"der Antrag, -̈e",1,1654
3273,application,2,
3274,"das Reich, -e",1,1655
3275,"empire, kingdom",2,
3276,"investieren, investiert, investierte, hat investiert",1,1656
3277,to invest,2,
3278,"bestellen, bestellt, bestellte, hat bestellt",1,1657
3279,"to order, to reserve",2,
3280,"die Gelegenheit, -en",1,1658
3281,opportunity,2,
3282,"die Mauer, -n",1,1659
3283,stattdessen,1,1660
3284,instead,2,
3285,"der Stuhl, -̈e",1,1661
3286,chair,2,
3287,"der Ton, -e",1,1662
3288,"sound, tone, clay",2,
3289,"das Büro, -s",1,1663
3290,office,2,
3291,"die Umwelt, -en",1,1664
3292,environment,2,
3293,"rauchen, raucht, rauchte, hat geraucht",1,1665
3294,to smoke,2,
3295,"die Beschreibung, -en",1,1666
3296,description,2,
3297,"die Pflanze, -n",1,1667
3298,plant,2,
3299,"die Tätigkeit, -en",1,1668
3300,"activity, work",2,
3301,"die Landschaft, -en",1,1669
3302,"landscape, countryside",2,
3303,"verweisen, verweist, verwies, hat verwiesen",1,1670
3304,"to refer, to expel",2,
3305,"der Arbeitsplatz, -̈e",1,1671
3306,"workplace, job",2,
3307,"erfassen, erfasst, erfasste, hat erfasst",1,1672
3308,"to determine, to grasp, to acquire",2,
3309,"die Komponente, -n",1,1673
3310,component,2,
3311,"das Ion, -en",1,1674
3312,ion,2,
3313,"der Laden, -̈",1,1675
3314,shop,2,
3315,fein,1,1676
3316,fine,2,
3317,"der Stern, -e",1,1677
3318,star,2,
3319,"der Schuh, -e",1,1678
3320,shoe,2,
3321,"das Knie, -",1,1679
3322,knee,2,
3323,null,1,1680
3324,zero,2,
3325,"die Schicht, -en",1,1681
3326,"layer, class",2,
3327,unglaublich,1,1682
3328,incredible,2,
3329,zurück,1,1683
3330,"die Realität, -en",1,1684
3331,sobald,1,1685
3332,as soon as,2,
3333,"belegen, belegt, belegte, hat belegt",1,1686
3334,"to occupy, to prove, to verify, to take",2,
3335,"der Fluss, -̈e",1,1687
3336,river,2,
3337,"die Alternative, -n",1,1688
3338,alternative,2,
3339,"verpflichten, verpflichtet, verpflichtete, hat verpflichtet",1,1689
3340,"to obligate, to oblige, to commit",2,
3341,"begrüßen, begrüßt, begrüßte, hat begrüßt",1,1690
3342,to greet,2,
3343,"die Führung, -en",1,1691
3344,"management, command, leadership",2,
3345,"untere (r, s)",1,1692
3346,lower,2,
3347,"das Handy, -s",1,1693
3348,mobile phone,2,
3349,"die Hauptstadt, -̈e",1,1694
3350,capital city,2,
3351,"das Experiment, -e",1,1695
3352,experiment,2,
3353,"der Frieden, -",1,1696
3354,peace,2,
3355,"der Verlauf, -̈e",1,1697
3356,course,2,
3357,"das Potenzial, -e",1,1698
3358,potential,2,
3359,"der Verlag, -e",1,1699
3360,publishing company,2,
3361,"der Ministerpräsident, -en",1,1700
3362,"governor, minister president",2,
3363,"der Vogel, -̈",1,1701
3364,bird,2,
3365,"beschränken, beschränkt, beschränkte, hat beschränkt",1,1702
3366,to restrict,2,
3367,"die Branche, -n",1,1703
3368,"sector, line of business",2,
3369,"der Schauspieler, -",1,1704
3370,actor,2,
3371,"vorschlagen, schlägt vor, schlug vor, hat vorgeschlagen",1,1705
3372,to suggest,2,
3373,beinahe,1,1706
3374,"almost, nearly",2,
3375,jährlich,1,1707
3376,annual,2,
3377,"die Botschaft, -en",1,1708
3378,message,2,
3379,"der Alltag, -e",1,1709
3380,"workday, daily routine, everyday life",2,
3381,"der Umsatz, -̈e",1,1710
3382,"turnover, sales",2,
3383,"der Verband, -̈e",1,1711
3384,"association, bandage",2,
3385,betreten,1,1712
3386,"to enter, to walk into/onto",2,
3387,"die Regelung, -en",1,1713
3388,"regulation, settlement",2,
3389,"teilnehmen, nimmt teil, nahm teil, hat teilgenommen",1,1714
3390,to take part,2,
3391,"überwiegen, überwiegt, überwog, hat überwogen",1,1715
3392,to outweigh,2,
3393,"bedingen, bedingt, bedingte, hat bedingt",1,1716
3394,to cause,2,
3395,"die Gestalt, -en",1,1717
3396,"shape, form, figure",2,
3397,"zukommen, kommt zu, kam zu, ist zugekommen",1,1718
3398,"to come toward, to be in store",2,
3399,"ablaufen, läuft ab, lief ab, hat abgelaufen",1,1719
3400,"to run out, to expire",2,
3401,"der Minister, -",1,1720
3402,minister,2,
3403,"das Fahrzeug, -e",1,1721
3404,vehicle,2,
3405,"fließen, fließt, floss, ist geflossen",1,1722
3406,to flow,2,
3407,gemäß,1,1723
3408,"der Vorwurf, -̈e",1,1724
3409,"reproach, accusation",2,
3410,erforderlich,1,1725
3411,"required, necessary",2,
3412,"die Haltung, -en",1,1726
3413,"posture, attitude",2,
3414,"der Schriftsteller, -",1,1727
3415,writer,2,
3416,"die Stimmung, -en",1,1728
3417,"mood, atmosphere",2,
3418,zufällig,1,1729
3419,"accidental, by chance",2,
3420,enorm,1,1730
3421,enormous,2,
3422,"das Fach, -̈er",1,1731
3423,"compartment, subject",2,
3424,"begrenzen, begrenzt, begrenzte, hat begrenzt",1,1732
3425,"to limit, to restrict",2,
3426,"das Lied, -er",1,1733
3427,song,2,
3428,"die Nation, -en",1,1734
3429,nation,2,
3430,"die Verhandlung, -en",1,1735
3431,negotiation,2,
3432,"der Wein, -e",1,1736
3433,wine,2,
3434,"die Auflage, -n",1,1737
3435,"edition, condition, plating",2,
3436,billig,1,1738
3437,cheap,2,
3438,dünn,1,1739
3439,thin,2,
3440,"achten, achtet, achtete, hat geachtet",1,1740
3441,"to respect, to pay attention",2,
3442,"der Amerikaner, -",1,1741
3443,"der Anbieter, -",1,1742
3444,supplier,2,
3445,"die Industrie, -n",1,1743
3446,industry,2,
3447,Spanien,1,1744
3448,Spain,2,
3449,"off, away",2,
3450,"der Jude, -n",1,1746
3451,Jew,2,
3452,"der Vorgang, -̈e",1,1747
3453,"procedure, process",2,
3454,"ausgeben, gibt aus, gab aus, hat ausgegeben",1,1748
3455,to spend,2,
3456,"der Meister, -",1,1749
3457,master,2,
3458,"umdrehen, dreht um, drehte um, hat umgedreht",1,1750
3459,"to turn over, to turn around",2,
3460,weitgehend,1,1751
3461,extensive,2,
3462,traurig,1,1752
3463,sad,2,
3464,"die Aufmerksamkeit, -en",1,1753
3465,attention,2,
3466,"die Berechnung, -en",1,1754
3467,calculation,2,
3468,gegenseitig,1,1755
3469,"mutual, each other",2,
3470,kurzfristig,1,1756
3471,at short notice,2,
3472,"die Stufe, -n",1,1757
3473,"step, level",2,
3474,"das Urteil, -e",1,1758
3475,"sentence, judgment",2,
3476,primär,1,1759
3477,primary,2,
3478,der Schnee,1,1760
3479,snow,2,
3480,vollkommen,1,1761
3481,"complete, perfect",2,
3482,England,1,1762
3483,England,2,
3484,massiv,1,1763
3485,"solid, massive, severe",2,
3486,sämtlich,1,1764
3487,"übersetzen, übersetzt, übersetzte, hat übersetzt",1,1765
3488,to translate,2,
3489,dringend,1,1766
3490,urgent,2,
3491,"verursachen, verursacht, verursachte, hat verursacht",1,1767
3492,"die Konkurrenz, -en",1,1768
3493,"der Muskel, -n",1,1769
3494,muscle,2,
3495,"der Test, -s",1,1770
3496,test,2,
3497,"Süden, Süd-",1,1771
3498,south,2,
3499,super,1,1772
3500,"super, great",2,
3501,ökonomisch,1,1773
3502,economic,2,
3503,"die Erzählung, -en",1,1774
3504,"narration, story",2,
3505,"die Initiative, -n",1,1775
3506,initiative,2,
3507,"das Flugzeug, -e",1,1776
3508,airplane,2,
3509,"DNA (DNS, Desoxyribonukleinsäure)",1,1777
3510,"DNA, deoxyribonucleic acid",2,
3511,"die Flüssigkeit, -en",1,1778
3512,liquid,2,
3513,"der Geburtstag, -e",1,1779
3514,birthday,2,
3515,"das Kleid, -er",1,1780
3516,dress,2,
3517,zeitlich,1,1781
3518,in time,2,
3519,"der Ball, -̈e",1,1782
3520,ball,2,
3521,"die Brust, -̈e",1,1783
3522,"breast, chest",2,
3523,elektronisch,1,1784
3524,electronic,2,
3525,"verabschieden, verabschiedet, verabschiedete, hat verabschiedet",1,1785
3526,"to say goodbye, to pass",2,
3527,"ausdrücken, drückt aus, drückte aus, hat ausgedrückt",1,1786
3528,to express,2,
3529,"das Detail, -s",1,1787
3530,detail,2,
3531,demokratisch,1,1788
3532,democratic,2,
3533,"die Variable, -n",1,1789
3534,variable,2,
3535,das Fleisch,1,1790
3536,"meat, flesh",2,
3537,körperlich,1,1791
3538,"die Liste, -n",1,1792
3539,list,2,
3540,"träumen, träumt, träumte, hat geträumt",1,1793
3541,to dream,2,
3542,"das Volumen, -",1,1794
3543,"volume, total amount",2,
3544,"zugeben, gibt zu, gab zu, hat zugegeben",1,1795
3545,to admit,2,
3546,ah,1,1796
3547,ah,2,
3548,"das Drittel, -",1,1797
3549,third,2,
3550,"akzeptieren, akzeptiert, akzeptierte, hat akzeptiert",1,1798
3551,to accept,2,
3552,endgültig,1,1799
3553,final,2,
3554,ewig,1,1800
3555,eternal,2,
3556,"die Perspektive, -n",1,1801
3557,"perspective, prospects",2,
3558,"das Restaurant, -s",1,1802
3559,restaurant,2,
3560,"wandern, wandert, wanderte, ist gewandert",1,1803
3561,"to (go on a) walk or hike, to migrate",2,
3562,"die Tasche, -n",1,1804
3563,"pocket, bag",2,
3564,"vornehmen (sich), nimmt vor, nahm vor, hat vorgenommen",1,1805
3565,die Beamte,1,1806
3566,"orientieren, orientiert, orientierte, hat orientiert",1,1807
3567,to orient,2,
3568,schmal,1,1808
3569,"narrow, slender",2,
3570,"der Streit, -e",1,1809
3571,"argument, fight",2,
3572,spannend,1,1810
3573,"exciting, thrilling",2,
3574,wohin,1,1811
3575,"das Dach, -̈er",1,1812
3576,roof,2,
3577,"die Karriere, -n",1,1813
3578,career,2,
3579,"regeln, regelt, regelte, hat geregelt",1,1814
3580,"to control, to regulate, to direct",2,
3581,insofern,1,1815
3582,"as far as that goes, insofar, therefore",2,
3583,"die Zigarette, -n",1,1816
3584,cigarette,2,
3585,bunt,1,1817
3586,colorful,2,
3587,"die Falle, -n",1,1818
3588,trap,2,
3589,"verbreiten, verbreitet, verbreitete, hat verbreitet",1,1819
3590,to spread,2,
3591,"die Auswirkung, -en",1,1820
3592,einander,1,1821
3593,each other,2,
3594,weshalb,1,1822
3595,"der Unterricht, -e",1,1823
3596,"instruction, classes",2,
3597,"das Bedürfnis, -se",1,1824
3598,need,2,
3599,"das Niveau, -s",1,1825
3600,"level, standard",2,
3601,"die Tante, -n",1,1826
3602,aunt,2,
3603,"die Prüfung, -en",1,1827
3604,"examination, test, exam",2,
3605,"mitbringen, bringt mit, brachte mit, hat mitgebracht",1,1828
3606,to bring,2,
3607,seltsam,1,1829
3608,"strange, peculiar",2,
3609,"das Gen, -e",1,1830
3610,gene,2,
3611,"engagieren, engagiert, engagierte, hat engagiert",1,1831
3612,"to hire, to employ, to commit, to engage",2,
3613,"der Onkel, -",1,1832
3614,uncle,2,
3615,soweit,1,1833
3616,as far as,2,
3617,mächtig,1,1834
3618,powerful,2,
3619,ausgerechnet,1,1835
3620,"of all people, of all times",2,
3621,zweimal,1,1836
3622,twice,2,
3623,"die Störung, -en",1,1837
3624,"disturbance, interruption",2,
3625,"die Aktion, -en",1,1838
3626,"action, campaign",2,
3627,-jährig,1,1839
3628,years (old),2,
3629,künstlich,1,1840
3630,artificial,2,
3631,"die Auseinandersetzung, -en",1,1841
3632,"argument, quarrel",2,
3633,"pflegen, pflegt, pflegte, hat gepflegt",1,1842
3634,"to care, to cultivate",2,
3635,"die Ausgabe, -n",1,1843
3636,"distribution, edition, issue, expense",2,
3637,online,1,1844
3638,online,2,
3639,"ableiten, leitet ab, leitete ab, hat abgeleitet",1,1845
3640,"to derive, to deduce",2,
3641,etc.,1,1846
3642,etc.,2,
